Activity ID,Data Element ID,Data Element Label,Description and Definition,"Multiple Choice Type 
(if applicable)",Data Type,Input Options,Calculation,Quantity Sub-Type,Validation Condition,Editable,Required,Explain conditionality,Linkages to Aggregate Indicators,Notes,"ICD-11
Code","ICD-11
URI","ICD-11
Comments / Considerations",ICD-11 Relationship,"ICD-10
Code","ICD-10
Comments / Considerations",ICD-10 Relationship,"LOINC version 2.68
Code","LOINC version 2.68
Comments / Considerations",LOINC version 2.68 Relationship,"ICHI (Beta 3)
Code","ICHI
URI","ICHI
Comments / Considerations",ICHI Relationship,"ICF
Code","ICF
Comments / Considerations",ICF Relationship,SNOMED GPS Code,"SNOMED GPS 
Comments / Considerations","SNOMED GPS
Relationship",,,,,,
"IMMZ.C4.Create client record
OR
IMMZ.C5.3.Update client details",IMMZ.C.DE1,Unique identifier,"Unique identifier for the client, according to the policies applicable to each country. There can be more than one unique identifier used to link records (e.g. national ID, health ID, immunization information system ID, medical record ID)",N/A,ID,N/A,N/A,N/A,Minimum and maximum number of characters based on local policy,No,R,None,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,,,,,,
"IMMZ.C4.Create client record
OR
IMMZ.C5.3.Update client details",IMMZ.C.DE2,Name,The full name of the client,N/A,String,N/A,N/A,N/A,"Only letters and special characters (period, dash) allowed.",Yes,R,None,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,54125-0,Long common name: Patient name,Equivalent,Not classifiable in ICHI,,,,Not classifiable in ICF,,,371484003,Code title: Patient name (observable entity),Equivalent,,,,,,
"IMMZ.C4.Create client record
OR
IMMZ.C5.3.Update client details",IMMZ.C.DE3,First name,Client's first name or given name,N/A,String,N/A,N/A,N/A,"Only letters and special characters (period, dash) allowed.",Yes,O,None,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,45392-8,Long common name: First name,Equivalent,Not classifiable in ICHI,,,,Not classifiable in ICF,,,184095009,Code title: Patient forename (observable entity),Related to,,,,,,
"IMMZ.C4.Create client record
OR
IMMZ.C5.3.Update client details",IMMZ.C.DE4,Family name,Client's family name or last name,N/A,String,N/A,N/A,N/A,"Only letters and special characters (period, dash) allowed.",Yes,O,None,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,45394-4,Long common name: Last name,Equivalent,Not classifiable in ICHI,,,,Not classifiable in ICF,,,184096005,Code title: Patient surname (observable entity),Related to,,,,,,
"IMMZ.C4.Create client record
OR
IMMZ.C5.3.Update client details",IMMZ.C.DE5,Sex,Documentation of a specific instance of sex information for the client,Select one,Coding,N/A,N/A,N/A,None,Yes,R,None,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,46098-0,Long common name: Sex. Should also consider https://loinc.org/76691-5/,Equivalent,Not classifiable in ICHI,,,,Not classifiable in ICF,,,184100006,Code title: Patient sex (observable entity),Equivalent,,,,,,
"IMMZ.C4.Create client record
OR
IMMZ.C5.3.Update client details",IMMZ.C.DE6,     Male,Client's biological sex is male,Input Option,Codes,Male,N/A,N/A,None,Yes,,None,,,XX2UQ8,http://id.who.int/icd/entity/1591498088,"Code title: Male

Note: Extension code, not used for primary tabulation ",Equivalent,Not classifiable in ICD-10,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,248153007,Code title: Male (finding),Equivalent,,,,,,
"IMMZ.C4.Create client record
OR
IMMZ.C5.3.Update client details",IMMZ.C.DE7,     Female,Client's biological sex is female,Input Option,Codes,Female,N/A,N/A,None,Yes,,None,,,XX2V25,http://id.who.int/icd/entity/990378205,"Code title: Female

Note: Extension code, not used for primary tabulation ",Equivalent,Not classifiable in ICD-10,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,248152002,Code title: Female (finding),Equivalent,,,,,,
"IMMZ.C4.Create client record
OR
IMMZ.C5.3.Update client details",IMMZ.C.DE8,     Biological sex not specified,Client's biological sex is not specified,Input Option,Codes,Biological sex not specified ,N/A,N/A,None,Yes,,None,,,XX2PX3,http://id.who.int/icd/entity/16562053,"Code title: Biological sex not specified 

Note: Extension code, not used for primary tabulation",Equivalent,Not classifiable in ICD-10,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,772004004,Code title: Non-binary gender (finding),Related to,,,,,,
"IMMZ.C4.Create client record
OR
IMMZ.C5.3.Update client details",IMMZ.C.DE9,     Intersex ,Client's biological sex is intersex,Input Option,Codes,Intersex ,N/A,N/A,None,Yes,,None,,,XX45B7,http://id.who.int/icd/entity/175182057,"Code title: Intersex

Note: Extension code, not used for primary tabulation ",Equivalent,Not classifiable in ICD-10,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,15867007,Code title: Intersexuality (finding),Equivalent,,,,,,
"IMMZ.C4.Create client record
OR
IMMZ.C5.3.Update client details",IMMZ.C.DE10,Date of birth ,"Client's date of birth (DOB) if known; if unknown, use assigned DOB for administrative purposes",N/A,Date,Date,N/A,N/A,Date ≤ Current Date,Yes,R,None,"IMMZ.IND.01, IMMZ.IND.02, 
IMMZ.IND.22, IMMZ.IND.23, IMMZ.IND.24","If date of birth is unknown, estimated DOB can be provided or estimated age can be used to estimate DOB",Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,21112-8,Long common name: Birth date,Equivalent,Not classifiable in ICHI,,,,Not classifiable in ICF,,,184099003,Code title: Date of birth (observable entity),Equivalent,,,,,,
"IMMZ.C4.Create client record
OR
IMMZ.C5.3.Update client details",IMMZ.C.DE13,Age,"The client's calculated age (presented as number of years, months, days) based on the date of birth (DOB) and the visit date",N/A,Quantity,N/A,('Visit Date' – 'Date of birth') / 365.25,Duration,"Years, Months, Days",No,C,Required if input in IMMZ.C.DE10 Date of birth is entered,"IMMZ.IND.02-05, IMMZ.IND.07-IMMZ.IND.10, IMMZ.IND.16-18, IMMZ.IND.24, IMMZ.IND.34-35",,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,63900-5,Long common name: Current age or age at death,Source is narrower than target,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,,,,,,
"IMMZ.C4.Create client record
OR
IMMZ.C5.3.Update client details",IMMZ.C.DE14,Caregivers (multiple),"The client's caregiver (person) which could be next of kin (e.g. partner, husband, mother, sibling, etc.)",N/A,String,N/A,N/A,N/A,None,Yes,O,None,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,,,,184140000,Code title: Caregiver details (observable entity),Source is narrower than target,,,,,,
"IMMZ.C4.Create client record
OR
IMMZ.C5.3.Update client details",IMMZ.C.DE15,     Caregiver's full name,The full name of the client's caregiver,N/A,String,N/A,N/A,N/A,"Only letters and special characters (period, dash) allowed",Yes,,None,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,,,,184140000,Code title: Caregiver details (observable entity),Source is narrower than target,,,,,,
