Activity ID,Data Element ID,Data Element Label,Description and Definition,Multiple Choice Type (if applicable),Data Type,Input Options,Calculation,Quantity Sub-Type,Validation Condition,Editable,Required,Skip Logic,Linkages to Aggregate Indicators,Notes,ICD-11 Code,ICD-11 URI,ICD-11 Comments / Considerations,ICD-11 Relationship,ICD-10 Code,ICD-10 Comments / Considerations,ICD-10 Relationship,ICD-9 Code,ICD-9 Comments / Considerations,ICD-9 Relationship,LOINC version 2.68 Code,LOINC version 2.68 Comments / Considerations,LOINC version 2.68 Relationship,ICHI (Beta 3) Code,ICHI URI,ICHI Comments / Considerations,ICHI Relationship,ICF Code,ICF Comments / Considerations,ICF Relationship,SNOMED GPS Code,SNOMED GPS Code Comments Considerations,SNOMED GPS Relationship,SNOMED CT International Version Code,SNOMED CT International Version Comments / Considerations,SNOMED CT Relationship,HL7 FHIR R4 - Resource,HL7 FHIR R4 - Values,HL7 FHIR R4 Code,HL7 FHIR R4 Relationship,ICD-11 Description,WHO ATC Code,WHO ATC Name,Origin Tab
IMMZ.C1 Register or Update Client,IMMZ.C1.DE1,Unique Identifier,"Unique identifier for the vaccinated person, according to the policies applicable to each country. There can be more than one unique identifier used to link records (e.g. national ID, health ID, immunization information system ID, medical record ID).",,ID,,,,Minimum and maximum number of characters based on local policy,No,R,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,Not classifiable in SNOMED-GPS,,,118522005,Identifier (property) (qualifier value),Equivalent,Patient.identifier,,,Equivalent,,,,IMMZ.C Register Client
IMMZ.C1 Register or Update Client,IMMZ.C1.DE2,Name,The full name of the vaccinated person.,,String,,,,"Only letters and special characters (period, dash) allowed.",Yes,R,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,54125-0,Long common name: Patient name,Equivalent,Not classifiable in ICHI,,,,Not classifiable in ICF,,,371484003,Patient name (observable entity),Equivalent,371484003,Patient name (observable entity),Equivalent,Patient.name.text,,,Equivalent,,,,IMMZ.C Register Client
IMMZ.C1 Register or Update Client,IMMZ.C1.DE3,Given Name,"Client's given name, or first name",,String,,,,"Only letters and special characters (period, dash) allowed.",Yes,O,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,45392-8,Long common name: First name,Related to,Not classifiable in ICHI,,,,Not classifiable in ICF,,,184095009,Patient forename (observable entity),Related to,184095009,Patient forename (observable entity),Related to,Patient.name.given,,,Related to,,,,IMMZ.C Register Client
IMMZ.C1 Register or Update Client,IMMZ.C1.DE4,Family Name,Client's family name or last name,,String,,,,"Only letters and special characters (period, dash) allowed.",Yes,O,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,45394-4,Long common name: Last name,Related to,Not classifiable in ICHI,,,,Not classifiable in ICF,,,184096005,Patient surname (observable entity),Related to,184096005,Patient surname (observable entity),Related to,Patient.name.family,,,Related to,,,,IMMZ.C Register Client
IMMZ.C1 Register or Update Client,IMMZ.C1.DE5,Sex,Documentation of a specific instance of sex information for the vaccinated person.,Select one,Coding,,,,,Yes,R,,,,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,46098-0,Long common name: Sex. Should also consider https://loinc.org/76691-5/,Equivalent,Not classifiable in ICHI,,,,Not classifiable in ICF,,,184100006,Patient sex (observable entity),Equivalent,184100006,Patient sex (observable entity),Equivalent,Patient.gender,,,Equivalent,,,,IMMZ.C Register Client
IMMZ.C1 Register or Update Client,,Male,Client's biological sex is male,Input Option,Codes,Male,,,,Yes,R,,,,XX2UQ8,http://id.who.int/icd/entity/1591498088,"XX2UQ8 Male. Extension code, not used for primary tabulation",Equivalent,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,248153007,Male (finding),Equivalent,248153007,Male (finding),Equivalent,,Male,male,Equivalent,,,,IMMZ.C Register Client
IMMZ.C1 Register or Update Client,,Female,Client's biological sex is female,Input Option,Codes,Female,,,,Yes,R,,,,XX2V25,http://id.who.int/icd/entity/990378205,"XX2V25 Female. Extension code, not used for primary tabulation",Equivalent,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,248152002,Female (finding),Equivalent,248152002,Female (finding),Equivalent,,Female,female,Equivalent,,,,IMMZ.C Register Client
IMMZ.C1 Register or Update Client,,Biological Sex Not Specified,Client's biological sex is not specified,Input Option,Codes,Other,,,,Yes,R,,,,XX2PX3,http://id.who.int/icd/entity/16562053,"XX2PX3 Biological sex not specified. Extension code, not used for primary tabulation",Equivalent,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,772004004,Non-binary gender (finding),Related to,394743007,Gender unknown (finding),Related to,,Other,other,Related to,,,,IMMZ.C Register Client
IMMZ.C1 Register or Update Client,,Intersex,Client's biological sex is intersex,Input Option,Codes,Intersex,,,,Yes,R,,,,XX45B7,http://id.who.int/icd/entity/175182057,"XX45B7 Intersex. Extension code, not used for primary tabulation",Equivalent,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,Not classifiable in LOINC,,,Not classifiable in ICHI,,,,Not classifiable in ICF,,,15867007,Intersexuality (finding),Equivalent,15867007,Intersexuality (finding),Equivalent,,Unknown,unknown,Equivalent,,,,IMMZ.C Register Client
IMMZ.C1 Register or Update Client,IMMZ.C1.DE6,Date of birth,"The vaccinated person's date of birth (DOB) if known. If unknown, use assigned DOB for administrative purposes.",,Date,Date,,,Date,Yes,R,,"IMMZ.IND.2 - IMMZ.IND.19 , IMMZ.IND.29 - IMMZ.IND.46",,Not classifiable in ICD-11,,,,Not classifiable in ICD-10,,,Not classifiable in ICD-9,,,21112-8,Long common name: Birth date,Equivalent,Not classifiable in ICHI,,,,Not classifiable in ICF,,,184099003,Date of birth (observable entity),Equivalent,184099003,Date of birth (observable entity),Equivalent,Patient.birthDate,,,,,,,IMMZ.C Register Client
