attr:Activity_ID,id,name[1],description[1],attr:Multiple_Choice_Type_(if_applicable),datatype,attr:Input_Options,attr:Calculation,attr:Quantity_Sub-Type,attr:Validation_Condition,attr:Editable,attr:Required,attr:Skip_Logic,attr:Linkages_to_Aggregate_Indicators,attr:Notes,map_to_concept_url[0],attr:ICD-11_URI,attr:ICD-11_Comments_Considerations,map_type[0],map_to_concept_url[1],attr:ICD-10_Comments_Considerations,map_type[1],map_to_concept_url[2],attr:ICD-9_Comments_Considerations,map_type[2],map_to_concept_url[3],attr:LOINC_version_2.68_Comments_Considerations,map_type[3],map_to_concept_url[4],attr:ICHI_URI,attr:ICHI_Comments_Considerations,map_type[4],map_to_concept_url[5],attr:ICF_Comments_Considerations,map_type[5],map_to_concept_url[6],attr:SNOMED_GPS_Code_Comments_Considerations,map_type[6],map_to_concept_url[7],attr:Snomed_CT_International_Version_Comments_Considerations,map_type[7],attr:HL7_FHIR_R4_Resource,attr:HL7_FHIR_R4_Values,map_to_concept_url[8],map_type[8],attr:ICD-11_Description,map_to_concept_url[9],attr:WHO_ATC_Name,attr:Activity_Group,map_type[9],resource_type,source,owner_id,owner_type,retired,name_type[1],map_from_concept_url[10],map_type[10],map_to_concept_url[10],concept_class,attr:ValueSet_URL
IMMZ.C1 Register or Update Client,IMMZ.C1.DE1,Unique Identifier,"Unique identifier for the vaccinated person, according to the policies applicable to each country. There can be more than one unique identifier used to link records (e.g. national ID, health ID, immunization information system ID, medical record ID).",,ID,,,,Minimum and maximum number of characters based on local policy,No,R,,,,,,,,,,,,,,,,,,,,,,,,,,,/orgs/IHTSDO/sources/SNOMED-CT/concepts/118522005,Identifier (property) (qualifier value),Equivalent,Patient.identifier,,,,,,,IMMZ.C Register Client,,Concept,smart-example-immz,WHO-Smart-Guidelines,Organization,FALSE,Fully Specified,,,,Data Element,
IMMZ.C1 Register or Update Client,IMMZ.C1.DE2,Name,The full name of the vaccinated person.,,String,,,,"Only letters and special characters (period, dash) allowed.",Yes,R,,,,,,,,,,,,,,/orgs/Regenstrief/sources/LOINC/concepts/54125-0,Long common name: Patient name,Equivalent,,,,,,,,/orgs/SNOMED-International/sources/SNOMED-GPS/concepts/371484003,Patient name (observable entity),Equivalent,/orgs/IHTSDO/sources/SNOMED-CT/concepts/371484003,Patient name (observable entity),Equivalent,Patient.name.text,,,,,,,IMMZ.C Register Client,,Concept,smart-example-immz,WHO-Smart-Guidelines,Organization,FALSE,Fully Specified,,,,Data Element,
IMMZ.C1 Register or Update Client,IMMZ.C1.DE3,Given Name,"Client's given name, or first name",,String,,,,"Only letters and special characters (period, dash) allowed.",Yes,O,,,,,,,,,,,,,,/orgs/Regenstrief/sources/LOINC/concepts/45392-8,Long common name: First name,Related to,,,,,,,,/orgs/SNOMED-International/sources/SNOMED-GPS/concepts/184095009,Patient forename (observable entity),Related to,/orgs/IHTSDO/sources/SNOMED-CT/concepts/184095009,Patient forename (observable entity),Related to,Patient.name.given,,,,,,,IMMZ.C Register Client,,Concept,smart-example-immz,WHO-Smart-Guidelines,Organization,FALSE,Fully Specified,,,,Data Element,
IMMZ.C1 Register or Update Client,IMMZ.C1.DE4,Family Name,Client's family name or last name,,String,,,,"Only letters and special characters (period, dash) allowed.",Yes,O,,,,,,,,,,,,,,/orgs/Regenstrief/sources/LOINC/concepts/45394-4,Long common name: Last name,Related to,,,,,,,,/orgs/SNOMED-International/sources/SNOMED-GPS/concepts/184096005,Patient surname (observable entity),Related to,/orgs/IHTSDO/sources/SNOMED-CT/concepts/184096005,Patient surname (observable entity),Related to,Patient.name.family,,,,,,,IMMZ.C Register Client,,Concept,smart-example-immz,WHO-Smart-Guidelines,Organization,FALSE,Fully Specified,,,,Data Element,
IMMZ.C1 Register or Update Client,IMMZ.C1.DE5,Sex,Documentation of a specific instance of sex information for the vaccinated person.,Select one,Coding,,,,,Yes,R,,,,,,,,,,,,,,/orgs/Regenstrief/sources/LOINC/concepts/46098-0,Long common name: Sex. Should also consider https://loinc.org/76691-5/,Equivalent,,,,,,,,/orgs/SNOMED-International/sources/SNOMED-GPS/concepts/184100006,Patient sex (observable entity),Equivalent,/orgs/IHTSDO/sources/SNOMED-CT/concepts/184100006,Patient sex (observable entity),Equivalent,Patient.gender,,,,,,,IMMZ.C Register Client,,Concept,smart-example-immz,WHO-Smart-Guidelines,Organization,FALSE,Fully Specified,,,,Data Element,https://app.staging.openconceptlab.org/#/orgs/WHO-Smart-Guidelines/collections/IMMZ.C1.DE5-values
IMMZ.C1 Register or Update Client,1,Male,Client's biological sex is male,Input Option,Codes,,,,,Yes,R,,,,/orgs/WHO/sources/ICD-11-WHO/concepts/XX2UQ8,http://id.who.int/icd/entity/1591498088,"XX2UQ8 Male. Extension code, not used for primary tabulation",Equivalent,,,,,,,,,,,,,,,,,/orgs/SNOMED-International/sources/SNOMED-GPS/concepts/248153007,Male (finding),Equivalent,/orgs/IHTSDO/sources/SNOMED-CT/concepts/248153007,Male (finding),Equivalent,,Male,/orgs/HL7/sources/administrative-gender/concepts/male,Equivalent,,,,IMMZ.C Register Client,,Concept,smart-example-immz,WHO-Smart-Guidelines,Organization,FALSE,Fully Specified,/orgs/WHO-Smart-Guidelines/sources/smart-example-immz/concepts/IMMZ.C1.DE5/,Q-AND-A,/orgs/WHO-Smart-Guidelines/sources/smart-example-immz/concepts/1/,Input Option,
IMMZ.C1 Register or Update Client,2,Female,Client's biological sex is female,Input Option,Codes,,,,,Yes,R,,,,/orgs/WHO/sources/ICD-11-WHO/concepts/XX2V25,http://id.who.int/icd/entity/990378205,"XX2V25 Female. Extension code, not used for primary tabulation",Equivalent,,,,,,,,,,,,,,,,,/orgs/SNOMED-International/sources/SNOMED-GPS/concepts/248152002,Female (finding),Equivalent,/orgs/IHTSDO/sources/SNOMED-CT/concepts/248152002,Female (finding),Equivalent,,Female,/orgs/HL7/sources/administrative-gender/concepts/female,Equivalent,,,,IMMZ.C Register Client,,Concept,smart-example-immz,WHO-Smart-Guidelines,Organization,FALSE,Fully Specified,/orgs/WHO-Smart-Guidelines/sources/smart-example-immz/concepts/IMMZ.C1.DE5/,Q-AND-A,/orgs/WHO-Smart-Guidelines/sources/smart-example-immz/concepts/2/,Input Option,
IMMZ.C1 Register or Update Client,3,Biological Sex Not Specified,Client's biological sex is not specified,Input Option,Codes,,,,,Yes,R,,,,/orgs/WHO/sources/ICD-11-WHO/concepts/XX2PX3,http://id.who.int/icd/entity/16562053,"XX2PX3 Biological sex not specified. Extension code, not used for primary tabulation",Equivalent,,,,,,,,,,,,,,,,,/orgs/SNOMED-International/sources/SNOMED-GPS/concepts/772004004,Non-binary gender (finding),Related to,/orgs/IHTSDO/sources/SNOMED-CT/concepts/394743007,Gender unknown (finding),Related to,,Other,/orgs/HL7/sources/administrative-gender/concepts/other,Related to,,,,IMMZ.C Register Client,,Concept,smart-example-immz,WHO-Smart-Guidelines,Organization,FALSE,Fully Specified,/orgs/WHO-Smart-Guidelines/sources/smart-example-immz/concepts/IMMZ.C1.DE5/,Q-AND-A,/orgs/WHO-Smart-Guidelines/sources/smart-example-immz/concepts/3/,Input Option,
IMMZ.C1 Register or Update Client,4,Intersex,Client's biological sex is intersex,Input Option,Codes,,,,,Yes,R,,,,/orgs/WHO/sources/ICD-11-WHO/concepts/XX45B7,http://id.who.int/icd/entity/175182057,"XX45B7 Intersex. Extension code, not used for primary tabulation",Equivalent,,,,,,,,,,,,,,,,,/orgs/SNOMED-International/sources/SNOMED-GPS/concepts/15867007,Intersexuality (finding),Equivalent,/orgs/IHTSDO/sources/SNOMED-CT/concepts/15867007,Intersexuality (finding),Equivalent,,Unknown,/orgs/HL7/sources/administrative-gender/concepts/unknown,Equivalent,,,,IMMZ.C Register Client,,Concept,smart-example-immz,WHO-Smart-Guidelines,Organization,FALSE,Fully Specified,/orgs/WHO-Smart-Guidelines/sources/smart-example-immz/concepts/IMMZ.C1.DE5/,Q-AND-A,/orgs/WHO-Smart-Guidelines/sources/smart-example-immz/concepts/4/,Input Option,
IMMZ.C1 Register or Update Client,IMMZ.C1.DE6,Date of birth,"The vaccinated person's date of birth (DOB) if known. If unknown, use assigned DOB for administrative purposes.",,Date,Date,,,Date,Yes,R,,"IMMZ.IND.2 - IMMZ.IND.19 , IMMZ.IND.29 - IMMZ.IND.46",,,,,,,,,,,,/orgs/Regenstrief/sources/LOINC/concepts/21112-8,Long common name: Birth date,Equivalent,,,,,,,,/orgs/SNOMED-International/sources/SNOMED-GPS/concepts/184099003,Date of birth (observable entity),Equivalent,/orgs/IHTSDO/sources/SNOMED-CT/concepts/184099003,Date of birth (observable entity),Equivalent,Patient.birthDate,,,,,,,IMMZ.C Register Client,,Concept,smart-example-immz,WHO-Smart-Guidelines,Organization,FALSE,Fully Specified,,,,Data Element,
